date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 1, 2010",650 Th. €,Montenegro,4391,B. Podgorica ,66784,"1,00 Mill. €",Fatos Beqiraj,10/11,Croatia,419,Dinamo Zagreb 
"Jan 1, 2008",?,Kosovo,14617,KF Besa Peja ,66784,-,Fatos Beqiraj,07/08,Montenegro,4391,B. Podgorica 
"Jul 1, 2007",?,Kosovo,14664,KF Shqiponja ,66784,-,Fatos Beqiraj,07/08,Kosovo,14617,KF Besa Peja 
"Jul 1, 2006",-,Kosovo,464,Own U19 ,66784,-,Fatos Beqiraj,06/07,,14664,KF Shqiponja 
"Jan 18, 2016",?,Russia,964,Zenit S-Pb ,73854,"2,00 Mill. €",Denis Tkachuk,15/16,Russia,2698,Rubin Kazan 
"Jul 9, 2015",Free transfer,Russia,2696,KS Samara ,73854,"1,80 Mill. €",Denis Tkachuk,15/16,Russia,964,Zenit S-Pb 
"Jul 10, 2014",Free transfer,Russia,14589,Gaz. Orenburg ,73854,650 Th. €,Denis Tkachuk,14/15,Russia,2696,KS Samara 
"Feb 8, 2014",Free transfer,Russia,6672,Salyut Belgorod ,73854,350 Th. €,Denis Tkachuk,13/14,Russia,14589,Gaz. Orenburg 
"Jan 1, 2008",-,Russia,19393,Belgorod U19 ,73854,-,Denis Tkachuk,07/08,Russia,6672,Salyut Belgorod 
"Feb 9, 2016",Free transfer,Ukraine,2740,Vorskla ,91450,400 Th. €,Oleg Mishchenko,15/16,Russia,4128,Amkar Perm 
"Jul 1, 2013",?,Ukraine,2783,Metalurg D. ,91450,700 Th. €,Oleg Mishchenko,13/14,Ukraine,2740,Vorskla 
"Jun 30, 2013",End of loan,Ukraine,6996,Goverla ,91450,700 Th. €,Oleg Mishchenko,12/13,Ukraine,2783,Metalurg D. 
"Jul 1, 2012",Loan,Ukraine,2783,Metalurg D. ,91450,300 Th. €,Oleg Mishchenko,12/13,Ukraine,6996,Goverla 
"Jan 1, 2012",-,Ukraine,12425,Metalurg Donetsk II ,91450,150 Th. €,Oleg Mishchenko,11/12,Ukraine,2783,Metalurg D. 
