date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2004",-,Austria,10198,Austria Youth ,59196,-,Philipp Zulechner,04/05,Austria,42817,FAK U15 
"Aug 20, 1998",Free transfer,Austria,20814,FAC Jugend ,59196,-,Philipp Zulechner,98/99,Austria,10198,Austria Youth 
"Jun 30, 2015",End of loan,Belgium,3057,Standard Liège ,63833,"1,00 Mill. €",Jiloan Hamad,14/15,Germany,533,TSG Hoffenheim 
"Jan 31, 2015",Loan fee:100 Th. €,Germany,533,TSG Hoffenheim ,63833,"1,00 Mill. €",Jiloan Hamad,14/15,Belgium,3057,Standard Liège 
"Jan 1, 2014",Free transfer,Sweden,496,Malmö FF ,63833,"2,50 Mill. €",Jiloan Hamad,13/14,Germany,533,TSG Hoffenheim 
"Dec 1, 2007",?,Sweden,7923,BK Forward ,63833,-,Jiloan Hamad,07/08,Sweden,496,Malmö FF 
"Jul 1, 2015","8,00 Mill. €",Germany,60,SC Freiburg ,66058,"6,00 Mill. €",Admir Mehmedi,15/16,Germany,15,Bay. Leverkusen 
"Jul 1, 2014","6,00 Mill. €",Ukraine,338,Dynamo Kyiv ,66058,"5,50 Mill. €",Admir Mehmedi,14/15,Germany,60,SC Freiburg 
"Jun 30, 2014",End of loan,Germany,60,SC Freiburg ,66058,"5,50 Mill. €",Admir Mehmedi,13/14,Ukraine,338,Dynamo Kyiv 
"Jul 11, 2013",Loan fee:300 Th. €,Ukraine,338,Dynamo Kyiv ,66058,"3,50 Mill. €",Admir Mehmedi,13/14,Germany,60,SC Freiburg 
"Jan 6, 2012","3,50 Mill. €",Switzerland,260,FC Zürich ,66058,"3,00 Mill. €",Admir Mehmedi,11/12,Ukraine,338,Dynamo Kyiv 
"Jul 1, 2008",-,Switzerland,5501,FC Zürich U21 ,66058,-,Admir Mehmedi,08/09,Switzerland,260,FC Zürich 
"Jul 1, 2007",-,Switzerland,14537,FC Zürich U18 ,66058,-,Admir Mehmedi,07/08,Switzerland,5501,FC Zürich U21 
"Jul 1, 2006",Free transfer,Switzerland,40726,Winterthur U16 ,66058,-,Admir Mehmedi,06/07,Switzerland,14537,FC Zürich U18 
"Jul 1, 2004",-,Switzerland,20939,Winterthur Jgd. ,66058,-,Admir Mehmedi,04/05,Switzerland,40726,Winterthur U16 
"Jul 1, 2000",Free transfer,Switzerland,40721,Bellinzona Jgd. ,66058,-,Admir Mehmedi,00/01,Switzerland,20939,Winterthur Jgd. 
"Jul 1, 2014",-,Germany,1212,Braunschweig II ,78390,100 Th. €,Benjamin Later,14/15,,515,Unattached 
"Jul 1, 2013",-,Germany,23,E. Braunschweig ,78390,100 Th. €,Benjamin Later,13/14,Germany,1212,Braunschweig II 
"Jul 1, 2011",-,Germany,1212,Braunschweig II ,78390,125 Th. €,Benjamin Later,11/12,Germany,23,E. Braunschweig 
"Jul 1, 2009",Free transfer,Germany,5460,FT Braunschweig ,78390,-,Benjamin Later,09/10,Germany,1212,Braunschweig II 
"Jul 1, 2004",Free transfer,Germany,5341,BSC Acosta ,78390,-,Benjamin Later,04/05,Germany,5460,FT Braunschweig 
"Jul 1, 2003",-,Germany,19299,BSC Acosta U19 ,78390,-,Benjamin Later,03/04,Germany,5341,BSC Acosta 
"Jun 30, 2015",End of loan,Germany,18,Bor. M'gladbach ,82097,"12,00 Mill. â‚¬",Christoph Kramer,14/15,Germany,15,Bay. Leverkusen 
"Jul 1, 2013",Loan fee:200 Th. â‚¬,Germany,15,Bay. Leverkusen ,82097,"1,50 Mill. â‚¬",Christoph Kramer,13/14,Germany,18,Bor. M'gladbach 
"Jun 30, 2013",End of loan,Germany,80,VfL Bochum ,82097,"1,50 Mill. â‚¬",Christoph Kramer,12/13,Germany,15,Bay. Leverkusen 
"Jul 9, 2011",Loan,Germany,15,Bay. Leverkusen ,82097,100 Th. â‚¬,Christoph Kramer,11/12,Germany,80,VfL Bochum 
"Jul 1, 2011",-,Germany,211,Leverkusen II ,82097,50 Th. â‚¬,Christoph Kramer,11/12,Germany,15,Bay. Leverkusen 
"Jul 1, 2010",-,Germany,4713,Leverkusen U19 ,82097,-,Christoph Kramer,10/11,Germany,211,Leverkusen II 
"Jul 1, 2008",Free transfer,Germany,23005,DÃ¼sseldorf U17 ,82097,-,Christoph Kramer,08/09,Germany,4713,Leverkusen U19 
"Jul 1, 2006",Free transfer,Germany,11874,Leverkusen Yth. ,82097,-,Christoph Kramer,06/07,Germany,23005,DÃ¼sseldorf U17 
"Jul 1, 1999",Free transfer,Germany,53600,GrÃ¤frath Jgd. ,82097,-,Christoph Kramer,99/00,Germany,11874,Leverkusen Yth. 
"Jul 1, 2015",Free transfer,Azerbaijan,13328,Simurq ,83692,200 Th. €,Ali Gökdemir,15/16,Germany,5415,SF Schw. Hall 
"Jul 28, 2014",?,Germany,42,Hannover 96 ,83692,150 Th. €,Ali Gökdemir,14/15,Azerbaijan,13328,Simurq 
"Jun 30, 2014",End of loan,Turkey,2292,Elazigspor  ,83692,150 Th. €,Ali Gökdemir,13/14,Germany,42,Hannover 96 
"Feb 3, 2014",Loan,Germany,42,Hannover 96 ,83692,150 Th. €,Ali Gökdemir,13/14,Turkey,2292,Elazigspor  
"Jul 1, 2013",-,Germany,1065,Hannover 96 II ,83692,150 Th. €,Ali Gökdemir,13/14,Germany,42,Hannover 96 
"Jul 1, 2010",-,Germany,2663,Hannover 96 U19 ,83692,-,Ali Gökdemir,10/11,Germany,1065,Hannover 96 II 
"Jul 1, 2009",Free transfer,Germany,2517,Stuttgart U19 ,83692,-,Ali Gökdemir,09/10,Germany,2663,Hannover 96 U19 
"Jan 6, 2016",-,Greece,515,Unattached ,83700,600 Th. €,Panagiotis Vlachodimos,15/16,,265,Panathinaikos 
"Jul 1, 2015",-,Greece,683,Olympiacos ,83700,600 Th. €,Panagiotis Vlachodimos,15/16,,515,Unattached 
"Jun 30, 2015",End of loan,France,1160,Olympique Nîmes ,83700,600 Th. €,Panagiotis Vlachodimos,14/15,Greece,683,Olympiacos 
"Feb 2, 2015",Loan,Greece,683,Olympiacos ,83700,600 Th. €,Panagiotis Vlachodimos,14/15,France,1160,Olympique Nîmes 
"Dec 31, 2014",End of loan,Greece,5220,Ergotelis ,83700,600 Th. €,Panagiotis Vlachodimos,14/15,Greece,683,Olympiacos 
"Sep 1, 2014",Loan,Greece,683,Olympiacos ,83700,750 Th. €,Panagiotis Vlachodimos,14/15,Greece,5220,Ergotelis 
"Jun 30, 2014",End of loan,Greece,21957,Platanias ,83700,750 Th. €,Panagiotis Vlachodimos,13/14,Greece,683,Olympiacos 
"Jan 5, 2014",Loan,Greece,683,Olympiacos ,83700,800 Th. €,Panagiotis Vlachodimos,13/14,Greece,21957,Platanias 
"Dec 31, 2013",End of loan,Germany,167,FC Augsburg ,83700,800 Th. €,Panagiotis Vlachodimos,13/14,Greece,683,Olympiacos 
"Jul 6, 2013",Loan,Greece,683,Olympiacos ,83700,800 Th. €,Panagiotis Vlachodimos,13/14,Germany,167,FC Augsburg 
"Jul 1, 2012",595 Th. €,Greece,128,Skoda Xanthi ,83700,800 Th. €,Panagiotis Vlachodimos,12/13,Greece,683,Olympiacos 
"Jul 1, 2011",Free transfer,Germany,102,Stuttgart II ,83700,150 Th. €,Panagiotis Vlachodimos,11/12,Greece,128,Skoda Xanthi 
"Jul 1, 2010",-,Germany,2517,Stuttgart U19 ,83700,-,Panagiotis Vlachodimos,10/11,Germany,102,Stuttgart II 
"Jul 1, 2008",-,Germany,21084,Stuttgart U17 ,83700,-,Panagiotis Vlachodimos,08/09,Germany,2517,Stuttgart U19 
"Jul 1, 2006",-,Germany,19210,Stuttgart Jgd. ,83700,-,Panagiotis Vlachodimos,06/07,Germany,21084,Stuttgart U17 
"Jan 1, 2016","2,10 Mill. €",Germany,24,E. Frankfurt ,91423,"3,00 Mill. €",Václav Kadlec,15/16,Denmark,865,FC Midtjylland 
"Jun 30, 2015",End of loan,Czech Republic,197,Sparta Praha ,91423,"3,00 Mill. €",Václav Kadlec,14/15,Germany,24,E. Frankfurt 
"Feb 18, 2015",Loan fee:100 Th. €,Germany,24,E. Frankfurt ,91423,"3,00 Mill. €",Václav Kadlec,14/15,Czech Republic,197,Sparta Praha 
"Aug 18, 2013","3,20 Mill. €",Czech Republic,197,Sparta Praha ,91423,"5,00 Mill. €",Václav Kadlec,13/14,Germany,24,E. Frankfurt 
