clubId,league,name
3336,PO2,Desportivo Aves
2457,PO2,CF Belenenses Lissabon
8827,PO2,UD Oliveirense
7179,PO2,CD Tondela
5227,PO2,Atlético CP
3345,PO2,Leixões SC
3348,PO2,CD Trofense
642,NL2,De Graafschap Doetinchem
1283,NL2,FC Emmen
468,NL2,Sparta Rotterdam
798,NL2,Excelsior Rotterdam
723,NL2,Almere City FC
384,NL2,MVV Maastricht
404,NL2,FC Den Bosch
500,NL2,Helmond Sport
3892,NL2,FC Eindhoven
133,NL2,SC Cambuur-Leeuwarden
1455,NL2,FC Dordrecht
724,NL2,FC Volendam
1228,NL2,FC Oss
1435,NL2,Go Ahead Eagles Deventer
1389,NL2,AGOVV Apeldoorn
385,NL2,Fortuna Sittard
1434,NL2,SC Telstar
1284,NL2,SC Veendam
475,BE2,Sint-Truidense VV
968,BE2,KVC Westerlo
29228,BE2,Mouscron-Péruwelz
3172,BE2,CS Visé
1096,BE2,Royal FC Antwerpen
3898,BE2,RWDM Brussels FC
5026,BE2,Lommel United
6342,BE2,White Star Brüssel
2861,BE2,KV Oostende
3600,BE2,SK Sint-Niklaas
1111,BE2,SC Eendracht Aalst
2977,BE2,KSV Roeselare
1245,BE2,AS Eupen
3772,BE2,AFC Tubize
9888,BE2,KSK Heist
6304,BE2,KSV Oudenaarde
2974,BE2,Royal Francs Borains
1910,BE2,KFC Dessel Sport
4835,NAFC,New York Cosmos
32567,NAFC,San Antonio Scorpions FC
11228,NAFC,Carolina RailHawks FC
23565,NAFC,Tampa Bay Rowdies
9713,NAFC,Fort Lauderdale Strikers
27768,NAFC,Minnesota United FC
28170,NAFC,FC Edmonton
4274,NAFC,Atlanta Silverbacks FC
350,GB3,Sheffield United
1020,GB3,Portsmouth FC
990,GB3,Coventry City
2413,GB3,Bury FC
2454,GB3,Doncaster Rovers
989,GB3,AFC Bournemouth
991,GB3,Milton Keynes Dons
1078,GB3,Oldham Athletic
466,GB3,Preston North End
3054,GB3,Shrewsbury Town
1060,GB3,Colchester United
1150,GB3,Leyton Orient
352,GB3,Swindon Town
3684,GB3,Stevenage FC
2964,GB3,Scunthorpe United
1148,GB3,Brentford FC
1045,GB3,Notts County
972,GB3,Yeovil Town
3537,GB3,Crawley Town
1220,GB3,Carlisle United
2577,GB3,Hartlepool United
899,GB3,Walsall FC
1074,GB3,Tranmere Rovers
1042,GB3,Crewe Alexandra
17,L3,Borussia Dortmund II
102,L3,VfB Stuttgart II
30,L3,FC Hansa Rostock
48,L3,Karlsruher SC
2036,L3,1.FC Heidenheim 1846
81,L3,VfL Osnabrück
10,L3,Arminia Bielefeld
21,L3,Chemnitzer FC
8,L3,Alemannia Aachen
107,L3,Kickers Offenbach
440,L3,Hallescher FC
91,L3,Preußen Münster
108,L3,SV Wehen Wiesbaden
111,L3,Rot-Weiß Erfurt
105,L3,SV Darmstadt 98
110,L3,SV Wacker Burghausen
1,L3,1.FC Saarbrücken
90,L3,SV Babelsberg 03
66,L3,SpVgg Unterhaching
71,L3,Stuttgarter Kickers
1005,IT3A,US Lecce
2239,IT3A,US Cremonese
4103,IT3A,AC Lumezzane
4331,IT3A,Trapani Calcio
4102,IT3A,Carpi FC 1909
1047,IT3A,Calcio Como
4541,IT3A,UC AlbinoLeffe
4554,IT3A,FC Südtirol - Alto Adige
2251,IT3A,ACD Treviso
19367,IT3A,SS Tritium 1908
20519,IT3A,Virtus Entella
5621,IT3A,AC Reggiana 1919
9439,IT3A,FeralpiSalò
5174,IT3A,AC Pavia
15374,IT3A,Calcio Portogruaro-Summaga
4150,IT3A,AC Cuneo 1905
10155,IT3A,San Marino Calcio
4114,IT3B,ASG Nocerina
4171,IT3B,Benevento Calcio
839,IT3B,AC Perugia Calcio
8970,IT3B,Frosinone Calcio
10118,IT3B,Sorrento Calcio
5585,IT3B,SS Barletta Calcio
4326,IT3B,AS Gubbio 1910
2331,IT3B,AS Avellino 1912
22045,IT3B,US Latina Calcio
4172,IT3B,AC Pisa 1909
4159,IT3B,Carrarese Calcio
4097,IT3B,US Catanzaro
2250,IT3B,AC Prato
4085,IT3B,AS Andria BAT
4104,IT3B,FC Esperia Viareggio
19164,IT3B,Paganese Calcio 1926
1627,IT3C,Calcio Catania
1005,IT3C,US Lecce
704,IT3C,Foggia Calcio
4171,IT3C,Benevento Calcio
4106,IT3C,Casertana FC
5587,IT3C,SS Juve Stabia
18950,IT3C,SS Matera Calcio
4031,IT3C,Cosenza Calcio
1104,IT3C,ACR Messina
33734,IT3C,SS Monopoli 1966
10670,IT3C,AS Melfi
4085,IT3C,Fidelis Andria
4097,IT3C,US Catanzaro
31255,IT3C,SS Akragas Città dei Templi
22330,IT3C,SS Ischia Isolaverde
19164,IT3C,Paganese Calcio 1926
4558,IT3C,AS Martina Franca
32013,IT3C,AS Lupa Castelli Romani
9249,GB21,Arsenal FC U21
9265,GB21,Manchester City U21
9251,GB21,Manchester United U21
9254,GB21,Tottenham Hotspur U21
9250,GB21,Chelsea FC U21
9264,GB21,Sunderland AFC U21
33614,GB21,Norwich City U21
9252,GB21,Liverpool FC U21
9267,GB21,West Ham United U21
9261,GB21,Everton FC U21
9262,GB21,Fulham FC U21
9259,GB21,Bolton Wanderers U21
29990,GB21,West Bromwich Albion U21
12124,GB21,Aston Villa U21
24226,GB21,Wolverhampton Wanderers U21
36546,GB21,Southampton FC U21
9253,GB21,Newcastle United U21
24219,GB21,Stoke City U21
36123,GB21,FC Reading U21
9258,GB21,Blackburn Rovers U21
6945,GB21,Crystal Palace U21
9256,GB21,Middlesbrough FC U21
2509,AJ1,Hamburger SV U19
5343,AJ1,VfL Wolfsburg U19
2491,AJ1,SV Werder Bremen U19
