clubId,league,name
26591,EGY1,Ala'ab Damanhour
28571,EGY1,El Raja Marsa Matruh
23469,EGY1,El Nasr
44664,EGY1,Assiouty Sport
6356,SFA1,Mamelodi Sundowns FC
568,SFA1,Kaizer Chiefs
2891,SFA1,SuperSport United
2557,SFA1,Orlando Pirates
10680,SFA1,Bidvest Wits FC
2303,SFA1,Mpumalanga Black Aces FC
13831,SFA1,Platinum Stars FC
8607,SFA1,Bloemfontein Celtic
9370,SFA1,AmaZulu FC
2926,SFA1,Ajax Cape Town
2695,SFA1,Moroka Swallows
9368,SFA1,Free State Stars
14187,SFA1,Maritzburg United FC
23285,SFA1,University of Pretoria FC.
21202,SFA1,Polokwane City FC
31283,SFA1,Chippa United
6772,ALG1,USM Alger
8850,ALG1,MC Algier
18272,ALG1,ES Sétif
30685,ALG1,CS Constantine
13366,ALG1,JS Kabylie
13364,ALG1,ASO Chlef
37160,ALG1,JS Saoura
30930,ALG1,USM El Harrach
13365,ALG1,CR Belouizdad
30945,ALG1,MC El Eulma
3568,ALG1,NA Hussein-Dey
37683,ALG1,RC Arbaa
8851,ALG1,MC Oran
32024,ALG1,USM Bel Abbès
31558,ALG1,MO Béjaïa
30505,ALG1,ASM Oran
3342,TUN1,Esperance Tunis
819,TUN1,Club Africain Tunis
581,TUN1,Club Sportif Sfaxien
250,TUN1,Etoile Sportive du Sahel
12717,TUN1,Club Bizertin
4812,TUN1,Stade Tunisien
18792,TUN1,AS Marsa
39801,TUN1,Etoile Sportive Metlaoui
18793,TUN1,EGS Gafsa
22821,TUN1,Stade Gabèsien
22815,TUN1,CS Hammam-Lif
22812,TUN1,AS Gabes
9890,TUN1,US Monastir
17534,TUN1,JS Kairouanaise
2205,TUN1,ES Zarzis
24969,TUN1,AS Djerba
2068,MAR1,Raja Casablanca
9100,MAR1,Moghreb Tétouan
6603,MAR1,Wydad Athletic Club Casablanca
9099,MAR1,FAR Rabat
6371,MAR1,FUS Rabat
3282,MAR1,MAS Fes
14462,MAR1,Difaa El Jadida
22938,MAR1,KAC Kénitra
22944,MAR1,Olympique Safi
30650,MAR1,CR Al Hoceima
18702,MAR1,Olympique Khouribga
22936,MAR1,IZK Khémisset
22935,MAR1,Hassania d'Agadir
37176,MAR1,Renaissance de Berkane
4697,MAR1,Kawkab Marrakech
46681,MAR1,Chabab Atlas Khénifra
502,GHPL,Asante Kotoko F.C.
9079,GHPL,Ashanti Gold SC
31855,GHPL,Medeama SC
13603,GHPL,Heart of Lions Kpando
13607,GHPL,Liberty Professionals Accra
35141,GHPL,New Edubiase United
3601,GHPL,Hearts of Oak
35137,GHPL,Berekum Chelsea
11584,GHPL,Accra Great Olympics
28374,GHPL,Aduana Stars
2030,GHPL,Sekondi Hasaacas FC
32840,GHPL,Inter Allies FC
18743,GHPL,Wa All Stars FC
25065,GHPL,Bechem United
46484,GHPL,West African Football Academy
47108,GHPL,Brong Ahafo Stars FC
